run_id,agent,seed,temperature,tau,sigma,episodes,recall,precision,detections_per_joule,false_alarms,coverage,time_to_first_detection,ece,signed_calibration_error,accuracy,pool_split
lawnmower__s4__T4__tau0.55__sig1.5,lawnmower,4,4.0,0.55,1.5,20,0.3242647862623831,0.321902814279215,0.08623120300751816,112.5,0.390625,9.85,,,,shift
lawnmower__s0__T0.3__tau0.6__sig1.5,lawnmower,0,0.3,0.6,1.5,20,0.3676160442170003,0.33528035168232334,0.10377506265664083,128.4,0.390625,10.15,,,,shift
lawnmower__s1__T0.3__tau0.6__sig1.5,lawnmower,1,0.3,0.6,1.5,20,0.3436683893618885,0.300729382346127,0.08959899749373368,129.95,0.390625,10.4,,,,shift
lawnmower__s2__T0.3__tau0.6__sig1.5,lawnmower,2,0.3,0.6,1.5,20,0.3811778131493634,0.3369798467007787,0.10236528822055062,125.7,0.390625,9.1,,,,shift
lawnmower__s3__T0.3__tau0.6__sig1.5,lawnmower,3,0.3,0.6,1.5,20,0.35761205743393876,0.3129789379336304,0.09562969924811958,131.6,0.390625,6.7,,,,shift
lawnmower__s4__T0.3__tau0.6__sig1.5,lawnmower,4,0.3,0.6,1.5,20,0.3370893242629143,0.2983911210647542,0.08967731829573869,131.05,0.390625,9.75,,,,shift
lawnmower__s0__T0.5__tau0.6__sig1.5,lawnmower,0,0.5,0.6,1.5,20,0.36612939684495155,0.33758144582002747,0.10330513784461078,126.5,0.390625,10.15,,,,shift
lawnmower__s1__T0.5__tau0.6__sig1.5,lawnmower,1,0.5,0.6,1.5,20,0.34215960977484805,0.3027674273640225,0.08928571428571362,128.15,0.390625,10.4,,,,shift
lawnmower__s2__T0.5__tau0.6__sig1.5,lawnmower,2,0.5,0.6,1.5,20,0.37904379124608667,0.3380857454741123,0.10173872180451053,124.25,0.390625,9.1,,,,shift
lawnmower__s3__T0.5__tau0.6__sig1.5,lawnmower,3,0.5,0.6,1.5,20,0.3571073493360103,0.3163699893931031,0.09547305764410957,129.15,0.390625,6.7,,,,shift
lawnmower__s4__T0.5__tau0.6__sig1.5,lawnmower,4,0.5,0.6,1.5,20,0.33500256268373996,0.3003019630676633,0.08912907268170359,129.15,0.390625,9.75,,,,shift
lawnmower__s0__T1__tau0.6__sig1.5,lawnmower,0,1.0,0.6,1.5,20,0.36275561476604123,0.34785776953735936,0.10236528822055062,119.6,0.390625,10.15,,,,shift
lawnmower__s1__T1__tau0.6__sig1.5,lawnmower,1,1.0,0.6,1.5,20,0.33500762275897283,0.30933537168474345,0.08748433583959835,121.7,0.390625,10.4,,,,shift
lawnmower__s2__T1__tau0.6__sig1.5,lawnmower,2,1.0,0.6,1.5,20,0.37637786395240835,0.3466913178609251,0.1009555137844604,118.65,0.390625,9.1,,,,shift
lawnmower__s3__T1__tau0.6__sig1.5,lawnmower,3,1.0,0.6,1.5,20,0.35482577071649773,0.3253906754931061,0.09484649122806947,122.9,0.390625,6.7,,,,shift
lawnmower__s4__T1__tau0.6__sig1.5,lawnmower,4,1.0,0.6,1.5,20,0.33096028161857366,0.31132098329787056,0.08803258145363344,120.85,0.390625,9.75,,,,shift
lawnmower__s0__T2__tau0.6__sig1.5,lawnmower,0,2.0,0.6,1.5,20,0.3569984656163745,0.3581666814906894,0.10072055137844538,112.3,0.390625,10.15,,,,shift
lawnmower__s1__T2__tau0.6__sig1.5,lawnmower,1,2.0,0.6,1.5,20,0.3312935407321742,0.3242499397087316,0.0865444862155382,112.15,0.390625,10.4,,,,shift
lawnmower__s2__T2__tau0.6__sig1.5,lawnmower,2,2.0,0.6,1.5,20,0.3703877491990971,0.35830060872001374,0.09931077694235516,110.95,0.390625,9.1,,,,shift
